,Stock,Price (B.),P/E (X),P/BV (X),Market Cap (MB.),EV/EBITDA,BVPS (B.) (2018),BVPS (B.) (2017),Beta (2018),Beta (2017),Payout Ratio (2018),Payout Ratio (2017),Dividend 15 (Cash),Dividend 15 (Share),Dividend 16 (Cash),Dividend 16 (Share),Dividend 17 (Cash),Dividend 17 (Share),Dividend 18 (Cash),Dividend 18 (Share),Cash 14,Cash 15,Cash 16,Cash 17,EPS 14 (baht),EPS 15 (baht),EPS 16 (baht),EPS 17 (baht),ROE (%),D/E (X),Gross Profit Margin (%),Net Profit Margin (%),Net Profit Growth 15,Net Profit Growth 16,Net Profit Growth 17
10,PG,7.50,N/A,0.47,720.00,65.33,16.02,15.81,0.28,0.08,N/A,N/A,1.07,,0.0,,0.0,,0.0,,122.73,196.65,20.83,39.14,0.62,0.14,-0.78,-0.16,-1.024638867615602,0.15635242703293273,12.010460185657886,-1.4458863973020055,-77.12,N/A,N/A
11,SABINA,24.60,35.16,4.51,8548.50,24.93,5.45,5.32,0.05,0.05,1.17,0.33,0.18,,0.21,,0.28,,0.68,,43.95,39.39,40.93,43.89,0.42,0.48,0.51,0.70,13.324565008905328,0.2595232567955428,50.90998542821519,9.075368031293857,12.68,6.11,38.41
12,SAWANG,14.00,N/A,0.74,336.00,-12.60,19.03,19.65,0.17,0.20,N/A,N/A,0.0,,0.0,,0.0,,0.0,,79.13,59.41,76.20,50.33,-0.68,-0.13,-0.81,-1.33,-6.724473172526143,0.16482770699242527,3.014822879155845,-26.705067200934966,N/A,N/A,N/A
13,SUC,43.00,9.60,0.65,12900.00,5.93,66.26,66.19,0.44,0.34,0.45,0.55,0.0,,1.5,,2.0,,2.0,,2871.10,2606.27,4439.89,3956.38,3.46,3.16,4.56,4.64,6.902170173389983,0.19271400314306583,13.347240801893417,11.132829809244491,-8.57,44.24,1.59
14,TNL,21.20,16.72,0.68,2544.00,15.59,31.31,30.13,0.09,-0.12,0.55,0.63,0.85,,0.75,,0.85,,0.0,,110.51,38.90,68.32,48.24,1.73,1.44,1.71,1.27,4.189319452477347,0.1634826032214186,28.985086190199493,7.595170568027483,-16.78,18.54,-25.91
15,TPCORP,17.80,14.87,0.83,1922.40,10.80,21.39,21.11,0.08,0.05,0.58,1.24,0.55,,1.6,,0.7,,0.0,,148.68,99.19,180.11,77.04,0.88,0.83,2.84,1.20,5.684965837444271,0.1559303397732536,20.845001697216563,12.242463263141948,-4.93,241.15,-57.91
16,TR,52.75,4.43,0.46,10634.40,4.23,114.89,112.31,0.77,0.96,0.09,0.08,0.05,,0.7,,1.05,,0.0,,,289.02,5.44,220.27,,-6.73,6.87,11.53,11.501679144943138,0.1015441521429303,16.435907658218227,21.80733885587224,,N/A,67.83
17,TTI,28.25,N/A,0.96,1412.50,12.33,29.52,29.89,-0.12,-0.36,N/A,2.91,0.0,,0.5,,0.5,,0.5,,124.05,96.67,136.25,146.14,-1.19,0.13,-0.48,-0.25,-0.8236372516877538,1.758281219299018,5.236753213007937,-0.33842668704741274,N/A,N/A,N/A
18,TTL,106.00,-,-,-,-,90.15,90.09,-,-,-,-,0.0,,0.0,,0.0,,0.0,,,216.14,178.11,15.86,,6.42,33.10,0.22,0.2454805923776444,0.0028933814823585134,,14.219015280135824,,415.90,-99.32
19,TTTM,124.00,301.68,0.50,744.00,4.61,246.14,245.96,0.27,0.30,4.87,0.97,0.5,,2.0,,2.0,,1.0,,,261.17,285.02,390.50,,0.87,4.72,0.78,0.31713900134952766,0.10472148827905908,11.013892722421568,0.4239810922474606,,25.36,-83.39
20,UPF,76.00,18.99,1.53,570.00,9.81,49.76,48.96,0.32,0.08,1.00,1.22,0.0,,4.9,,7.1,,4.0,,60.48,106.77,98.09,67.36,3.35,4.91,7.11,4.00,7.800847127302964,0.28653341192862114,15.597652975691537,4.88272990468755,46.59,44.64,-43.69
21,UT,14.50,20.28,0.95,652.50,10.59,15.22,14.90,0.05,-0.05,N/A,N/A,0.0,,0.0,,0.0,,0.0,,23.57,11.60,105.40,80.52,-0.96,0.18,0.34,0.49,4.8534959082914355,0.10655800554259363,7.38502631370164,5.195795897609764,N/A,24.81,18.46
22,WACOAL,47.50,17.56,0.99,5700.00,14.78,48.04,47.11,-0.15,0.20,0.55,0.46,2.4,,1.1,,1.3,,0.0,,41.86,62.48,61.78,32.99,2.31,2.79,2.59,2.71,5.795422496242534,0.2260274210223212,23.408610580074914,7.141019014417525,20.84,-7.00,4.41
